Lab_Name,Test_Name,Price,City,Area,Latitude,Longitude
Aarthi Scans,Anemia Profile,1265,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Bilirubin Test,273,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Blood Group Test,205,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Blood Sugar Test,109,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,CBC with ESR,527,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,CRP Test,814,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Calcium Test,220,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Cardiac Risk Profile,1923,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Cholesterol Test,457,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Complete Blood Count,424,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Dengue IgG IgM,1178,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Dengue NS1 Antigen,898,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Diabetes Profile,806,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Electrolytes Test,501,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Fasting Blood Sugar,121,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Ferritin Test,833,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Fever Profile,1319,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Full Body Checkup,2985,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,HIV Test,736,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,HbA1c,630,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Hepatitis B Test,445,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Iron Profile,1211,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Kidney Function Test,672,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Lipid Profile,628,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Malaria Parasite Test,267,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,PSA Test,1055,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Pap Smear Test,931,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Post Lunch Blood Sugar,138,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Potassium Test,168,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Pregnancy Test,203,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Rheumatoid Factor,408,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Senior Citizen Checkup,2212,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,Sodium Test,187,Hyderabad,Abids,17.3895,78.4769
Aarthi Scans,T3 T4 TSH,870,Hyderabad,Abids,17.3895,78.4769
